station,daily_avg,total_trips,mape,rmse,mae,correlation,mape_rank
10th & U St NW,27.337893296853625,39968,44.68872195276705,12.08857368277852,9.867645653006933,0.7218866817277051,171.0
21st St & G st NW,38.82147742818057,56757,44.736804030169026,14.247581493668271,11.192858390748894,0.7655216679998881,172.0
Main Line Blvd & E Glebe,10.170998632010944,14870,44.97829331214484,4.809504361369023,3.770686155555793,0.7191484982881036,173.0
14th & Harvard St NW,20.409028727770178,29838,45.03288718165492,10.267912926001362,8.40881307858108,0.6129862952796677,174.0
North Capitol & K St NE,14.348837209302326,20978,45.058530757682156,12.058070487199515,9.120019413859959,0.638423814799526,175.0
15th St & Constitution Ave NW,44.34610123119015,64834,45.0957714653876,20.86974778286993,13.896125065215756,0.7268042525023849,176.0
37th & O St NW / Georgetown University,63.43023255813954,92735,45.59959110909779,29.639102420578514,23.464046043236102,0.8048820698858482,177.0
1st & D St SE,33.803693570451436,49421,45.61976893265436,12.332109924267003,9.794345744039898,0.8199550426567467,178.0
Crystal Dr & 15th St S,13.533515731874145,19786,45.700730950922264,6.191719134136525,4.633483130034573,0.680424526489389,179.0
3000 Connecticut Ave NW / National Zoo,17.70451436388509,25884,45.846648855902394,7.764317144497235,6.129233298001468,0.666233657412989,180.0
Connecticut & Nebraska Ave NW,12.631326949384405,18467,45.85995761163193,6.913831722908478,5.61991372387779,0.686391527577198,181.0
USDA / 12th & C St SW,17.456224350205197,25521,45.8652665120667,12.189125807173589,7.502334358692888,0.5713896478387639,182.0
New Jersey Ave & F St NW,51.634746922024625,75490,45.9418388384262,15.900756664291626,12.238437645610125,0.8301338102000216,183.0
Wisconsin Ave & Newark St NW,22.612175102599178,33059,46.313523639979806,12.247654163869594,9.905240693818772,0.7474974023937898,184.0
36th & Calvert St NW / Glover Park,12.439124487004104,18186,46.89573538460145,6.778488879678527,5.39897686953682,0.6405635111149829,185.0
7th St & Massachusetts Ave NE,20.837893296853625,30465,46.98338123546662,9.121625465706547,7.505143596622517,0.6088294514757066,186.0
15th & M St NW,39.18331053351573,57286,47.13850071115941,15.556476459529271,12.423653357824916,0.7724583341156879,187.0
19th & G St NW,23.521203830369355,34388,47.388784312698476,8.219511336972994,6.201578083224419,0.8524158458376183,188.0
5th & F St NW,28.525991792065664,41705,47.4300683906113,12.748989371282592,8.025341262965902,0.5597467138825778,189.0
New Jersey Ave & N St NW/Dunbar HS,29.265389876880985,42786,47.46109469881176,12.201616628590017,9.944435339932417,0.6771732783624682,190.0
1st & M St SE,37.341997264021884,54594,47.567990958934146,15.459499838988867,11.778394360205665,0.6985100946715251,191.0
1st & N St SE,32.89124487004104,48087,47.76805059794521,15.93083807803109,12.145332108464125,0.7679906362314992,192.0
Hardy Rec Center,11.764021887824898,17199,47.87645653951351,7.515863318515158,6.102179067896171,0.5698518265354301,193.0
New Jersey Ave & H St SE,34.79616963064296,50872,47.98302193001226,19.133883534417198,15.170913491450568,0.787860743924448,194.0
3rd & M St SE,16.301641586867305,23833,48.066347285186325,7.053145883367951,5.518816918134262,0.8415533562777476,195.0
4th & C St SW,44.41655266757866,64937,48.2248992476762,17.2470092408436,13.865722232507597,0.7363402486136666,196.0
18th & R St NW,51.62995896032832,75483,48.227406193256854,22.526023204621094,17.976755194266005,0.7395223952028098,197.0
10th & Monroe St NE,12.377564979480164,18096,48.37201504355731,6.555906548500278,5.184040639673189,0.5679960523842605,198.0
Wilson Blvd & N Quincy St,15.121751025991792,22108,48.50344336462899,7.287484304713513,5.970258739757897,0.7383772495431268,199.0
20th & E St NW,22.265389876880985,32552,48.869973270980054,7.435362646269867,5.654317847653877,0.7608281350077571,200.0
Washington & Independence Ave SW/HHS,37.21067031463748,54402,48.99814715936689,14.21642590559437,11.206237195969761,0.7106164134693113,201.0
Court House Metro / 15th St & N Uhle St,19.093707250341996,27915,49.235628062984375,12.035819916068593,9.829056696252549,0.7579301165551372,202.0
4th & E St SW,28.96169630642955,42342,49.35554576545273,12.108901280851601,9.685235267430718,0.7397058676812973,203.0
